rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,time_delta_with_next_rental_in_minutes
549579,273263,mobile,ended,-5.0,,,
549674,390702,connect,ended,-127.0,,,
549692,358131,mobile,ended,-158.0,,,
549808,310219,connect,ended,54.0,,,480.0
549874,409690,mobile,ended,3.0,,,
549901,383481,mobile,ended,201.0,,,
549923,407730,mobile,ended,167.0,,,
550000,378182,mobile,ended,-136.0,,,
550134,294883,mobile,ended,-158.0,,,
550211,407838,mobile,ended,20.0,,,
550224,358567,connect,ended,-7.0,,,720.0
550246,408578,mobile,ended,-15.0,,,
550248,382901,mobile,ended,-127.0,545782.0,60.0,
550459,295815,mobile,ended,82.0,,,
550537,239798,connect,ended,37.0,,,
550660,399967,mobile,ended,0.0,,,
550808,346652,connect,ended,-41.0,,,
550929,310681,connect,ended,-25.0,,,
551031,409711,mobile,ended,-1283.0,,,
551040,383343,mobile,ended,40.0,,,
551069,359880,connect,ended,-22.0,549192.0,180.0,
551108,291723,mobile,ended,211.0,,,
551128,382939,mobile,ended,97.0,,,
551137,295783,connect,ended,16.0,,,
551179,304570,mobile,ended,536.0,,,
551227,341710,mobile,ended,159.0,,,
551317,283001,mobile,ended,-7.0,,,
551364,406062,connect,ended,34.0,,,
551429,277888,mobile,ended,203.0,,,
551679,381233,mobile,ended,275.0,,,
551795,382793,mobile,ended,-193.0,,,
551907,171249,mobile,ended,11.0,,,
552204,348625,mobile,ended,91.0,,,
552209,412676,mobile,ended,23.0,,,
552233,245154,connect,ended,4.0,,,
552265,408202,mobile,ended,-28.0,,,
552330,384657,connect,ended,23.0,554800.0,0.0,
552342,376619,mobile,ended,-965.0,547312.0,0.0,450.0
552389,307335,mobile,ended,6.0,,,
552425,385625,connect,ended,-102.0,550476.0,30.0,300.0
552448,364662,mobile,ended,-232.0,,,
552524,173061,connect,ended,-22.0,,,720.0
552655,406081,mobile,ended,322.0,,,
552677,323777,mobile,ended,31.0,,,
552700,348673,mobile,ended,63.0,,,
552716,294883,mobile,ended,10.0,,,
552850,315136,connect,ended,40.0,,,
552964,384385,mobile,ended,20.0,,,
553153,276924,mobile,ended,5.0,,,120.0
553354,401166,mobile,ended,7.0,,,
553356,381684,mobile,ended,-1.0,,,
553367,385783,mobile,ended,24.0,519328.0,150.0,
553511,363658,mobile,ended,170.0,,,
553532,355444,connect,ended,-20.0,,,
553660,412936,mobile,ended,-3.0,,,
553726,347847,mobile,ended,-36.0,,,
553730,390976,connect,ended,-29.0,,,
553755,393972,mobile,ended,1.0,,,
553795,402528,connect,ended,11.0,,,
553984,410694,mobile,ended,-148.0,,,
554025,293785,mobile,ended,37.0,,,
554508,241021,connect,ended,-37.0,,,
554572,380002,mobile,ended,358.0,,,
554581,406629,mobile,ended,-5.0,,,
554695,402993,mobile,ended,17.0,560722.0,720.0,
555081,311353,mobile,ended,-72.0,,,
555083,328013,mobile,ended,161.0,,,
555131,324889,mobile,ended,146.0,,,
555458,351168,mobile,ended,-919.0,,,
555600,391519,connect,ended,-95.0,,,
555794,327585,mobile,ended,19.0,,,
555813,360548,mobile,ended,-26.0,,,
555992,375774,mobile,ended,58.0,,,
556072,320670,mobile,ended,21.0,,,
556079,374298,connect,ended,-1019.0,,,240.0
556143,407632,mobile,ended,181.0,,,
556483,413896,mobile,ended,14.0,,,
556488,296213,mobile,ended,8.0,,,
556580,397878,mobile,ended,77.0,,,
556608,368275,mobile,ended,-12.0,,,
556648,332548,mobile,ended,-581.0,,,
556696,234356,mobile,ended,59.0,,,
556755,395962,mobile,ended,98.0,,,
556986,402773,mobile,ended,23.0,,,
556999,406205,mobile,ended,14.0,,,
557296,387427,mobile,ended,7.0,,,
557314,383126,mobile,ended,-16.0,,,
557504,327732,mobile,ended,55.0,,,
557512,412816,mobile,ended,101.0,,,
557514,405433,mobile,ended,47.0,,,0.0
557535,401623,mobile,ended,21.0,,,
557572,383139,mobile,ended,-85.0,,,
557674,375915,mobile,ended,15.0,550183.0,480.0,
557681,410151,mobile,ended,122.0,,,
557685,272724,mobile,ended,996.0,,,
557833,351547,mobile,ended,67.0,,,
557913,351021,mobile,ended,-4.0,,,
558047,396746,mobile,ended,-25.0,,,
558088,245154,connect,ended,-40.0,566170.0,180.0,
558250,375126,connect,ended,-4.0,549813.0,600.0,
558424,318867,mobile,ended,173.0,,,
558525,297962,connect,ended,-256.0,555341.0,30.0,
558557,410258,mobile,ended,20.0,,,
558561,326755,mobile,ended,72.0,,,
558583,326578,mobile,ended,3.0,,,0.0
558709,316772,mobile,ended,102.0,,,
558759,368753,connect,ended,-126.0,,,
558974,321069,mobile,ended,-5.0,,,
559078,340616,connect,ended,27.0,,,
559318,344677,mobile,ended,2.0,,,
559331,369354,mobile,ended,89.0,,,
559428,289720,connect,ended,-16.0,520878.0,90.0,
559435,281955,mobile,ended,18.0,553797.0,60.0,
559781,408776,mobile,ended,44.0,540868.0,0.0,
559817,394117,mobile,ended,21.0,,,
559924,376064,mobile,ended,-3.0,,,
560005,301068,mobile,ended,-78.0,,,
560079,288452,mobile,ended,52.0,,,
